state,Sum_Alan,result_Alan
AL,23,less_Alan
AR,13,less_Alan
AZ,53,less_Alan
CA,417,less_Alan
CO,35,less_Alan
CT,6,less_Alan
FL,145,less_Alan
GA,63,less_Alan
IA,15,less_Alan
ID,9,less_Alan
IL,84,less_Alan
IN,24,less_Alan
KS,14,less_Alan
KY,13,less_Alan
LA,13,less_Alan
MA,21,less_Alan
MD,32,less_Alan
MI,36,less_Alan
MN,19,less_Alan
MO,15,less_Alan
MS,9,less_Alan
NC,61,less_Alan
NE,11,less_Alan
NJ,56,less_Alan
NM,16,less_Alan
NV,23,less_Alan
NY,114,less_Alan
OH,29,less_Alan
OK,18,less_Alan
OR,19,less_Alan
PA,40,less_Alan
RI,5,less_Alan
SC,13,less_Alan
TN,30,less_Alan
TX,337,less_Alan
UT,12,less_Alan
VA,43,less_Alan
WA,45,less_Alan
WI,12,less_Alan
